Source,Target,Jumlah Interaksi
kyuities,innercircleuni4,2.0
kyulaa__,rut0w0rld_,2.0
kyulest,yoshaurs,2.0
reikqmiya,cerephaka,2.0
lilsunschenle,zenius_oliv,2.0
1975nk,schfess,2.0
1975nk,nashiayamgeprek,2.0
choerrybombs2,waferasahoy,2.0
zkdlinkyu,vyororong,2.0
kyuuu_22,jiunromyy_,2.0
lavschesse,004pjw,2.0
lachie_nae,zenius_oliv,2.0
choiharu00,haruteum07,2.0
syafiranurainun,smkfess,2.0
lailychuss,sabdaps,2.0
7chillboo,itsmewillotski,2.0
nlawoo,milakp2,2.0
7chilleader,imanusman,2.0
hwaniflrt,rut0w0rld_,2.0
niniudon,wuffhoon,2.0
nopainpaintime,mondaylis_,2.0
lilacbaee,rut0w0rld_,2.0
cimycatha,polkacoma,2.0
taehyungkohl,sstrharuto,2.0
zenius_oliv,gapyearfess,2.0
__pramudya,schfess,2.0
hynskcallmyname,gigigigigigipal,2.0
syafiranurainun,bertanyarl,2.0
nistiakuki,subschfess,2.0
hxxwlmes,xjzee_,2.0
fyoduor,schfess,2.0
hwanskyle,jaehyuklovebot,2.0
kulitayamkeepsi,jangmikkul,2.0
rexyedam,rut0w0rld_,2.0
88milyarr,schfess,2.0
7ohmyice,prythalizee,2.0
kunnykunnykunn,tuanjaehyun,2.0
fluffyxshua,asahismile_,2.0
kurapikawifee,jeromepolin,2.0
flurryaiurs,rut0w0rld_,2.0
youreducationc1,schfess,2.0
tigerbby1,nanaasdfghjkl,2.0
akutehyeoja,trejoismyboo,2.0
madamemoisse,schfess,2.0
makyuisme,rut0w0rld_,2.0
ambisss1,soon2beamedstud,2.0
guidance204,lhccsimp,2.0
lullajieprk,jiunromyy_,2.0
buosinis,subschfess,2.0
yedamieudami,fiyybby_,2.0
yedamieudami,yedamieaaa,2.0
albanofinzo,sbmptnfess,2.0
yedamitapon,schfess,2.0
safvely,schfess,2.0
kasihnamadong_,whentheweather,2.0
sukajaehyunss,schfess,2.0
purpleuvy,cherrykook16,2.0
purpleskies7_,cloudyskies000,2.0
sayabisagila,imanusman,2.0
kembaransahoy,junkyua18,2.0
katharevousa98_,matchases,2.0
sundaeefundaee,mendmoon,2.0
yoonjeyi,2304days,2.0
pshismine_,schfess,2.0
erollg,yudhst,2.0
lvreinn,watanabe_din,2.0
yeopoppaaaaaa,schfess,2.0
cottoncandie__,xyzlla,2.0
byharuncuk,rut0w0rld_,2.0
almondmilkies,zenius_oliv,2.0
thevirgogurl,subschfess,2.0
guidance204,gapyearfess,2.0
putrioec,ayybis_,2.0
byunpov,convomf,2.0
eciarea,01erencuk_,2.0
amilyakautsar,sbmptnfess,2.0
keyystudies,schfess,2.0
bertuann,jnsomiih,2.0
bumbubucin,subschfess,2.0
yourarians,schcampus,2.0
ihawukyu,k0alalakyv,2.0
yantoyamazaki,subschfess,2.0
amiktheavocado,atypicali,2.0
yourcrush_babe,subschfess,2.0
mantappugirl,schfess,2.0
numayyyyyy,schfess,2.0
ho_who_am_i,rut0w0rld_,2.0
bulgos7chill,proudysun,2.0
imamagus21,subschfess,2.0
oliverbenedict7,ndobolwae,1.0
odutyce,paniijjekhyuk,1.0
nooana12,junkyua18,1.0
pahamitrats,ikhwalyakub,1.0
ocayaaaa,englishfess_,1.0
ocionayo,treasuremembers,1.0
oligarkei,utbkfess,1.0
nomnompst,ambisfs,1.0
nopainpaintime,tataplangit,1.0
odlaassir,menfesssyg,1.0
overthinkingboo,goodbyeautumn_,1.0
noodlezzzip,canstuy,1.0
nomnomgmz,rut0w0rld_,1.0
nominy15,ambisfs,1.0
noodlezzzip,nakaivvy,1.0
ofyoshinori,shushu_hua,1.0
overthinkingboo,sijett,1.0
oigotit,ranisyafrudin,1.0
nopainpaintime,hsahikunn,1.0
olivehateem_,azharfahd,1.0
pallzahf,sbmptnfess,1.0
noodlezzzip,snowgumzzz,1.0
pachilleui,sbmptnfess,1.0
ohdksoo,clobe,1.0
ojendeuk_,ambisfs,1.0
owlinlovewithu,vhezzzz,1.0
ohnomerlin,seporsimieayam,1.0
ohmyicedtea,collegemenfess,1.0
pacarnyarya,marktermeloo_n,1.0
pacarjaemln,piscesfeed1,1.0
okeegpp,memeykarta,1.0
ohmychs,jeongwo0xharut0,1.0
okeuy12,ambisfs,1.0
pacarjaemln,hajewuji,1.0
pacarhaliday,sbmptnfess,1.0
ohraraa2,schfess,1.0
nonoisorenjida,nlawoo,1.0
nonoleepark,ambisfs,1.0
padlep0p,prythalizee,1.0
okeuy12,subschfess,1.0
nonoisorenjida,flowerplumpeach,1.0
o7195,nekopoir,1.0
nonooliea,kiaspirasi,1.0
nonamesihhhhh,aiurawr,1.0
nonakimry,flyfromhell,1.0
nooana12,from_iksan,1.0
paansimer,levichrnzq,1.0
okgurlzs,schfess,1.0
olatte_milky,schfess,1.0
oxnjxbc,alestudiey,1.0
ohmychs,bulantokk,1.0
ojeunreh,rut0w0rld_,1.0
padukachanyeol,schfess,1.0
orchidzyone,chaeraelk,1.0
not_found_je,txtfromteume,1.0
overthinkingboo,cybemine,1.0
nuvantaraa,katdaal,1.0
oreoeon,iiaamwho,1.0
nunalnikyu,hwanlvs,1.0
nrlsaes,schfess,1.0
oreoeon,student_fess,1.0
nurhidazenius,afas64002521,1.0
nurhidazenius,subeeobin,1.0
nrlsaes,haru_010410,1.0
nrlfjh,yedamieudami,1.0
onyourmidd,ketekalien,1.0
nriskaxx,subschfess,1.0
ontinyawagyu,sasambisptn,1.0
nurjannahhanum,sabdaps,1.0
oikawakiw,takze,1.0
nurul69651509,misellia_,1.0
ontinyawagyu,angelyxc1,1.0
oreomaggies,rut0w0rld_,1.0
nriskaxx,houryminseo,1.0
nrlsaes,txtgetsunova,1.0
oocomfortzone,cathions,1.0
oreoeon,gapyearfess,1.0
oohjnya,rut0w0rld_,1.0
ntashiye,sbmptnfess,1.0
orchxid,subschfess,1.0
orenjihoon_,elican_takata,1.0
orangcakep_,ambisfs,1.0
orenjirommm,harukyutipie,1.0
oraange_candy,7chillnoona,1.0
oohjnya,wjd2npark_,1.0
oreocuros,kamusiapayak,1.0
nrossiee,studywithgee,1.0
oreocuros,keeylaaaaaaaaaa,1.0
oreoeon,arzwaa,1.0
numpanghidup13,gdrgoan,1.0
nsy191,zipyysev,1.0
nsy191,7chillboo,1.0
nrtamaa,subschfess,1.0
nrtamaa,ambisfs,1.0
nowsantuy,vazlae,1.0
orgrendahan,divaalfiah,1.0
olizly_,dewistudy,1.0
nowsantuy,sbmptnfess,1.0
nothuman321,alfyund,1.0
orxx18,ambisfs,1.0
o4jeongwolf,juhaknyeonsz,1.0
orxx18,subschfess,1.0
oneus_we,uglycitizennnn,1.0
notconnectioonn,schfess,1.0
ominotme,schfess,1.0
o4o6kbl,riverhjw_,1.0
o4ysuk,chocoruwoo_,1.0
notanncy,schfess,1.0
orangcakep_,subschfess,1.0
nore2dx,rooooollllll,1.0
oseanight,sbmptnfess,1.0
o5wtnabe,paniijjekhyuk,1.0
otsukarenasama,_alphaif,1.0
ourtattoos,yoonjaehyukz,1.0
overthinkingboo,aanakrajin,1.0
onigiroar,clumsukkie,1.0
orionbeltgirl,rachelamnd14,1.0
orimkhoirul23,sbmptnfess,1.0
nouvieiies,maublajar,1.0
nyeondy,ailofmalyfe,1.0
novitapuspita19,aiurs___,1.0
novirp1,imanusman,1.0
novieruto,02bydam,1.0
noviceartistt,_clairdxlunx,1.0
nyobaproduktip,marktermeloo_n,1.0
orgsm95,ceritadarimalam,1.0
notyourrt,jjunkkyyus,1.0
originaldirga,subschfess,1.0
onthewayhere,ryyuje,1.0
onoff_m,thinsmilemuahh,1.0
originaldirga,n0ojamx,1.0
notyourexxx_,hijustcallwawa,1.0
onlypjww,7chillboo,1.0
notiogic,subschfess,1.0
o0crash9,hynskch,1.0
nriskaxx,schfess,1.0
004pjw,clouxxyong,1.0
pamaksudmu,ngambisugmdl,1.0
putriwu99556132,kyawoocute,1.0
putrioec,leviheijo,1.0
putrioec,lenharuuu,1.0
putrioec,keeylaaaaaaaaaa,1.0
putrioec,karderland,1.0
putrioec,kajambis,1.0
putrioec,itsyubbie,1.0
putrioec,idyllicarea,1.0
putrioec,hngxiluc,1.0
putrioec,ha_nnyy,1.0
putrioec,gtwusiapa,1.0
putrioec,gleejoyful_,1.0
putrioec,galveenn,1.0
putrioec,fk22amin,1.0
putrioec,exoismylope,1.0
putrioec,cryptoaerox,1.0
putrioec,lleondrra,1.0
putrioec,mariisch,1.0
putrioec,maulana_1224,1.0
putrioec,sbmptnfess,1.0
putrioec,yobisayo5,1.0
putrioec,uuonieyun,1.0
putrioec,twelvebabyd,1.0
putrioec,studywithna,1.0
putrioec,strwbrrycigrtt,1.0
putrioec,shybabyel_,1.0
putrioec,raissaaadita,1.0
putrioec,maystudyy,1.0
putrioec,pakpekpos,1.0
putrioec,obsidiaine,1.0
putrioec,niceniecesix,1.0
putrioec,neologii,1.0
putrioec,nadaaraxx,1.0
putrioec,mediccio,1.0
putrioec,bnginho,1.0
putrioec,angelinetrima,1.0
putrioec,ambistwit,1.0
psbronitua,olivehateem_,1.0
ptrolga,fennytrim,1.0
ptnhunter22,pandaiimenangis,1.0
psikolofi,schfess,1.0
psichalogy,student_fess,1.0
pshstudy,myboyfriendkth,1.0
pshstudy,dyrajki,1.0
proudlater,siriusgalaxia,1.0
pulchraeaaxxi,schfess,1.0
propadti,sabdaps,1.0
profanous,o97pride,1.0
prodyoshikyu,teunamiii__,1.0
prodbypinky,produksiluna,1.0
probablydaisyb,noobychild,1.0
privateboba,subschfess,1.0
pudanmenawan,maisyaphnn,1.0
punyaaacaca,subschfess,1.0
putrioec,ambisfs,1.0
purpleskyedam,chaezeeel,1.0
putrioec,aeitzyi,1.0
putrioec,aanakrajin,1.0
putriiolalala,ambisfs,1.0
pusingbgthuft,nowsantuy,1.0
purwanachandra,nitasellya,1.0
purpyblues,rebbidd,1.0
purplejihoon,choiharu00,1.0
pupustruggle,prkdlx,1.0
