Node,Closeness Centrality
preci0usin,0.13800181750570845
euvoria_,0.13800181750570845
jjkslof,0.13800181750570845
jjhnayy,0.13800181750570845
lalamayla_,0.13800181750570845
esyeee2,0.13800181750570845
etherealhc_,0.13800181750570845
dooty1016,0.13800181750570845
jesjeurs,0.13800181750570845
dipmintae,0.13800181750570845
ekacans__,0.13800181750570845
djx_dejuna,0.13800181750570845
dukunsanted,0.13800181750570845
ilhinsibibiybiy,0.13800181750570845
mabokwonwoo,0.13800181750570845
padukachanyeol,0.13800181750570845
duykuduy,0.13800181750570845
ikarahmawati___,0.13800181750570845
dwiarts,0.13800181750570845
olatte_milky,0.13800181750570845
okgurlzs,0.13800181750570845
e_markeu,0.13800181750570845
jakqesim,0.13800181750570845
eileithsia,0.13800181750570845
doy_hee,0.13800181750570845
jdsmee23,0.13800181750570845
pixieeeest,0.13800181750570845
pinginjulid,0.13800181750570845
notanncy,0.13800181750570845
asheillette,0.13800181750570845
noecharm,0.13800181750570845
pjmrawrr,0.13800181750570845
ominotme,0.13800181750570845
notconnectioonn,0.13800181750570845
fairybtale,0.13800181750570845
ddoraex,0.13800181750570845
dankematian,0.13800181750570845
pfmstudy,0.13800181750570845
egkjlsinisp,0.13800181750570845
jaynwonnie,0.13800181750570845
detavyx,0.13800181750570845
awngantukbanget,0.13800181750570845
pharmacidst,0.13800181750570845
didodiei,0.13800181750570845
phisiwayy,0.13800181750570845
pickuppip,0.13800181750570845
elysianbounds,0.13800181750570845
pikarosiawati,0.13800181750570845
iucreciamh,0.13800181750570845
lya_jpark,0.13800181750570845
dsweetpromises,0.13800181750570845
i_washuman,0.13800181750570845
pshismine_,0.13800181750570845
crystaliese,0.13800181750570845
arshjch,0.13800181750570845
mbawangg,0.13800181750570845
luvieaes,0.13800181750570845
aini_ist,0.13800181750570845
coklatcreamyyy,0.13800181750570845
cowmoowy,0.13800181750570845
crystalies_,0.13800181750570845
lionhazelj,0.13800181750570845
kinanttan,0.13800181750570845
numayyyyyy,0.13800181750570845
mantappugirl,0.13800181750570845
culameetan,0.13800181750570845
bukanjinqorin,0.13800181750570845
khonsanailahr,0.13800181750570845
luthfeeyaz,0.13800181750570845
khaylilav,0.13800181750570845
lancarluncurr,0.13800181750570845
kgzutora,0.13800181750570845
coelenterataa,0.13800181750570845
arinywwww,0.13800181750570845
choxco,0.13800181750570845
chymmynie,0.13800181750570845
chemiseutry,0.13800181750570845
kimdoieily,0.13800181750570845
brownsugarb0ba,0.13800181750570845
aliyachll,0.13800181750570845
mekdiiioreo,0.13800181750570845
inumakitogel,0.13800181750570845
doyiieekim,0.13800181750570845
boncabeteri,0.13800181750570845
cutiesbabys,0.13800181750570845
apalo_cari2gw,0.13800181750570845
canisminorids,0.13800181750570845
camillaallif,0.13800181750570845
ohraraa2,0.13800181750570845
byyourside88,0.13800181750570845
istrikmdirumah,0.13800181750570845
anightthinker_,0.13800181750570845
ccermide,0.13800181750570845
cactusoi,0.13800181750570845
indomiejpg,0.13800181750570845
memeeou,0.13800181750570845
cciwworr,0.13800181750570845
alluireme,0.13800181750570845
anyaamentha,0.13800181750570845
maxsimusfloren,0.13800181750570845
itsaeril,0.13800181750570845
injeolmies_a,0.13800181750570845
mauuaungambis,0.13800181750570845
iniprastyi,0.13800181750570845
bucinsungjin_,0.13800181750570845
budikur87744640,0.13800181750570845
nanaa_128,0.13800181750570845
ayosmgtt,0.13800181750570845
aahilsty,0.13800181750570845
fluffyyriki,0.13800181750570845
fujoshijati,0.13800181750570845
miloray6,0.13800181750570845
hipokritx,0.13800181750570845
rawrrchio,0.13800181750570845
semangatinakuw,0.13800181750570845
hazelnutdolce,0.13800181750570845
tubatu_addicted,0.13800181750570845
migooyeng,0.13800181750570845
aglpln1,0.13800181750570845
semestajenuh,0.13800181750570845
hourmoonrn,0.13800181750570845
hramadaaan,0.13800181750570845
senseodie,0.13800181750570845
galvanicells,0.13800181750570845
gadis_azalia,0.13800181750570845
seputartopik,0.13800181750570845
ucaaaaay,0.13800181750570845
stylsdntfvl,0.13800181750570845
vaquola,0.13800181750570845
sehunnshinee,0.13800181750570845
venusblaack,0.13800181750570845
rayaiduladha,0.13800181750570845
agracelly,0.13800181750570845
hamshryn,0.13800181750570845
bigwinyu,0.13800181750570845
zrtnj,0.13800181750570845
fitraygaksih,0.13800181750570845
biiruuuuu,0.13800181750570845
jedd0ngie,0.13800181750570845
fiyyrlsst,0.13800181750570845
floreaaa_ft,0.13800181750570845
ucancallmeyunn,0.13800181750570845
mmeillen,0.13800181750570845
haedonggeuri,0.13800181750570845
mlieat,0.13800181750570845
feeeysa,0.13800181750570845
bismillahbisaye,0.13800181750570845
haiiwaizumi,0.13800181750570845
minexeulate,0.13800181750570845
sbuxrecipe,0.13800181750570845
fckinshtsboi,0.13800181750570845
sasastudy,0.13800181750570845
sobbingbcsoobin,0.13800181750570845
premiumappbysay,0.13800181750570845
baealiel,0.13800181750570845
ynamsaeng,0.13800181750570845
xo_fa_xo,0.13800181750570845
hisammula,0.13800181750570845
bluelowsh,0.13800181750570845
adaajeyekan,0.13800181750570845
qianlalisa,0.13800181750570845
xkylz_dll,0.13800181750570845
zerotohiros,0.13800181750570845
mrizkifebriann,0.13800181750570845
pyovn,0.13800181750570845
blueemarble,0.13800181750570845
xexostar,0.13800181750570845
yaaainisiapa,0.13800181750570845
yoursunnshine_,0.13800181750570845
inianissaa,0.13800181750570845
rumm_pi,0.13800181750570845
blueewyy,0.13800181750570845
bluelmnd,0.13800181750570845
abcdreaam,0.13800181750570845
zonaeaj,0.13800181750570845
xnysaz,0.13800181750570845
rarasahii,0.13800181750570845
